Tube,substrate,Volume to add in mL,total liquid volume,Media type,storage headspace,Drying Time (min),reaction time (h),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,H2,O2,N2,CO,CO2
A,N/A,4,4.2,1YCM,N/A,N/A,not done,1,10,200,10,50,,,,,,
B,N/A,4,4.2,1YCM,N/A,N/A,not done,1,10,200,10,50,,,,,,
C,3MM,4,4.2,1YCM,N/A,N/A,1,1,10,200,10,50,,13553.8,,390,1275.3,66.9
D,3MM,4,4.2,1YCM,N/A,N/A,1,1,10,200,10,50,,13625.5,,395.1,1195.4,83.7
E,N/A,4,4.2,1YCM,N/A,N/A,1,1,10,200,10,50,,12603.1,,368.6,1359.8,30.6
F,N/A,4,4.2,1YCM,N/A,N/A,1,1,10,200,10,50,,12377.6,,365,1342.7,30.4
G,3MM,4,4.2,1YCM,N/A,N/A,2,1,10,200,10,50,,13474.8,,409.1,975.9,139.7
H,3MM,4,4.2,1YCM,N/A,N/A,2,1,10,200,10,50,,13186.3,,407.5,1003.7,121.3
I,N/A,4,4.2,1YCM,N/A,N/A,2,1,10,200,10,50,,12046.9,,383.8,1251,48.2
J,N/A,4,4.2,1YCM,N/A,N/A,2,1,10,200,10,50,,11989.9,,372.7,1240.5,47.9
K,3MM,4,4.2,1YCM,N/A,N/A,3,1,10,200,10,50,,13546.2,,437.3,777.1,195.3
L,3MM,4,4.2,1YCM,N/A,N/A,3,1,10,200,10,50,,13409.1,,497.8,567.4,256.1
M,N/A,4,4.2,1YCM,N/A,N/A,3,1,10,200,10,50,,11618.1,,409.2,1162.9,62.4
N,N/A,4,4.2,1YCM,N/A,N/A,3,1,10,200,10,50,,11867,,396.7,1185.4,63.1
O,3MM,4,4.2,1YCM,N/A,N/A,4,1,10,200,10,50,,13313.1,,507.3,506.1,261
P,3MM,4,4.2,1YCM,N/A,N/A,4,1,10,200,10,50,,13869.8,,522.9,466.9,282.4
Q,N/A,4,4.2,1YCM,N/A,N/A,4,1,10,200,10,50,,11488,,413.5,1111.2,76.3
R,N/A,4,4.2,1YCM,N/A,N/A,4,1,10,200,10,50,,11959.2,,420.7,1137.9,79
S ,3MM,4,4.2,1YCM,N/A,N/A,5.25,1,10,200,10,50,,14252,,601,231.6,387.9
T ,3MM,4,4.2,1YCM,N/A,N/A,5.25,1,10,200,10,50,,14431.9,,568.5,274.2,369
