purpose: compare different substrates once and for all and see if I can develop a simple rate constant.,,,,,,,,,,,,,,,,,,,,N2
,,,,,,,,,,,,,,,,,,,,340
Tube,substrate,Volume to add in mL,total liquid volume,Media type,gas type,Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,pressure (psig),,H2,O2,N2,CO,CO2,,scaled CO,
SYNGAS,,,,,,,,,,,,,,,,,,,,
A,3MM,4,4.12,1YCM,syngas,1,20,120,10,50,0,,12899,,439,892,162,,690.8428246,
B,3MM,4,4.12,1YCM,syngas,1,20,120,10,50,0,,12819,,444,880,166,,673.8738739,
C,3MM,4,4.12,1YCM,syngas,1,20,120,10,50,0,,12353,,427,975,129,,776.3466042,
D,602h,4,4.12,1YCM,syngas,1,20,120,10,50,0,,12757,,415,735,225,,602.1686747,
E,602h,4,4.12,1YCM,syngas,1,20,120,10,50,0,,13163,,421,718,242,,579.8574822,
F,602h,4,4.12,1YCM,syngas,1,20,120,10,50,0,,13105,,412,749,241,,618.1067961,
G,602h,4,4.12,1YCM,syngas,1,20,120,10,50,5,,12802,,430,770,239,,608.8372093,
H,602h,4,4.12,1YCM,syngas,1,20,120,10,50,5,,12411,,452,800,204,,601.7699115,
I,602h,4,4.12,1YCM,syngas,1,20,120,10,50,5,,12622,,402,824,174,,696.9154229,
J,602h,4,4.12,1YCM,syngas,1,20,120,10,50,10,,12735,,376,939,136,,849.0957447,
K,602h,4,4.12,1YCM,syngas,1,20,120,10,50,10,,12520,,376,927,160,,838.2446809,
L,602h,4,4.12,1YCM,syngas,1,20,120,10,50,10,,12459,,386,889,183,,783.0569948,
,,,,,,,,,,,,,,,,,,,,
,total,48,,,,,total,1440,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,Formulations ,,,,,,,,,,,,
1st spin at 5000rpm on floor centrifuge with needle set at 4C,,,,,,,,cells,media,total,,,,,,,,,,
after first spin resuspended in 20mL 1YCM,,,,,,,,#1 ,0.5,,,,,,,,,,,
4C 6000g for 15min for 2nd,,,,,,,,770,770,1540,,,,,,,,,,
into shaker at 1050am,,,,,,,,,,,,,,,,,,,,
Sampled at 225,,,,,,,,,,,,,,,,,,,,
"D-F had higher reactivity than A-C, but much more turbidity.  A-C was as clear as 1YCM initially",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
