 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Tube,substrate,Volume to add in mL,total liquid volume,Media type,storage headspace,Drying Time (min),reaction time (h),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,,,,,,,,
SYNGAS,,,,,,,,,,,,,,H2,O2,N2,CO,CO2,,scaled CO,Normalized,N2 amount
A,N/A,4,4.2,1YCM,N/A,N/A,not done,1,10,200,10,50,,,,,,,,,,340
B,N/A,4,4.2,1YCM,N/A,N/A,not done,1,10,200,10,50,,,,,,,,,,
C,3MM,4,4.2,1YCM,N/A,N/A,1,1,10,200,10,50,,13553.8,,390,1275.3,66.9,,,,
D,3MM,4,4.2,1YCM,N/A,N/A,1,1,10,200,10,50,,13625.5,,395.1,1195.4,83.7,,,,
E,N/A,4,4.2,1YCM,N/A,N/A,1,1,10,200,10,50,,12603.1,,368.6,1359.8,30.6,,,,
F,N/A,4,4.2,1YCM,N/A,N/A,1,1,10,200,10,50,,12377.6,,365,1342.7,30.4,,,,
G,3MM,4,4.2,1YCM,N/A,N/A,2,1,10,200,10,50,,13474.8,,409.1,975.9,139.7,,,,
H,3MM,4,4.2,1YCM,N/A,N/A,2,1,10,200,10,50,,13186.3,,407.5,1003.7,121.3,,,,
I,N/A,4,4.2,1YCM,N/A,N/A,2,1,10,200,10,50,,12046.9,,383.8,1251,48.2,,,,
J,N/A,4,4.2,1YCM,N/A,N/A,2,1,10,200,10,50,,11989.9,,372.7,1240.5,47.9,,,,
K,3MM,4,4.2,1YCM,N/A,N/A,3,1,10,200,10,50,,13546.2,,437.3,777.1,195.3,,,,
L,3MM,4,4.2,1YCM,N/A,N/A,3,1,10,200,10,50,,13409.1,,497.8,567.4,256.1,,,,
M,N/A,4,4.2,1YCM,N/A,N/A,3,1,10,200,10,50,,11618.1,,409.2,1162.9,62.4,,,,
N,N/A,4,4.2,1YCM,N/A,N/A,3,1,10,200,10,50,,11867,,396.7,1185.4,63.1,,,,
O,3MM,4,4.2,1YCM,N/A,N/A,4,1,10,200,10,50,,13313.1,,507.3,506.1,261,,,,
P,3MM,4,4.2,1YCM,N/A,N/A,4,1,10,200,10,50,,13869.8,,522.9,466.9,282.4,,,,
Q,N/A,4,4.2,1YCM,N/A,N/A,4,1,10,200,10,50,,11488,,413.5,1111.2,76.3,,,,
R,N/A,4,4.2,1YCM,N/A,N/A,4,1,10,200,10,50,,11959.2,,420.7,1137.9,79,,,,
S ,3MM,4,4.2,1YCM,N/A,N/A,5.25,1,10,200,10,50,,14252,,601,231.6,387.9,,,,
T ,3MM,4,4.2,1YCM,N/A,N/A,5.25,1,10,200,10,50,,14431.9,,568.5,274.2,369,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,total,80,,,,,,,total for product,4000,,,,,,,,,,,,
,,,,,,,,,,,,,,line,Sample,tube #,,Ethanol,Acetate,,,
NOTES:,   ,,,,,,,,,Formulations ,,,,1,h2o,1,,2.6,2.8,,,
Today we are running two expeirments.  First experiment is to track product production in the suspension vs biocomposite,,,,,,,,,,cells,media,total,,2,low eth,2,,11,126.4,,,
Second experiment is to compare drying in OTA1 with WT,,,,,,,,,,#1 OTA1,0.3,,,3,med eth,3,,51.9,67.2,,,
Starting spinning first three bottles at 815am,,,,,,,,,,1410,3290,4700,,4,high eth,4,,92,4,,,
"first three bottles only gave of 910uL, I inoculated too late on wednesday. We had to spin a 4th down while leaving the first pellet in the chamber starting at 930",,,,,,,,,,#2 OTA1,0.3,,,5,media,5,,0,0,,,
4th bottle rinsed with 10mL of media,,,,,,,,,,200,466.6666667,666.6666667,,6,h2o,1,,1.2,2.7,,,
4th bottle of cells finished spinning down at 10:30 with 500uL of cells ,,,,,,,,,,,,,,7,C,6,,3,16.6,,,
"It seems odd that the first 3 bottles only gave 910uL of cells while the 4th bottle, even though it grew for a couple more hours than the other 3 bottles, gave 500uL of cells. ",,,,,,,,,,,,,,8,D,7,,4.1,29.5,,,
tubes into shaker at 1130,,,,,,,,,,,,,,9,E,8,,6.7,60,,,
,,,,,,,,,,,,,,10,F,9,,7.1,63.5,,,
,,,,,,,,,,,,,,11,G,10,,6.6,60.7,,,
,,,,,,,,,,,,,,12,H,11,,4.9,50.1,,,
,,,,,,,,,,,,,,13,I,12,,14,87.1,,,
,,,,,,,,,,,,,,14,J,13,,11.3,86.6,,,
,,,,,,,,,,,,,,15,K,14,,7,106.8,,,
,,,,,,,,,,,,,,16,L,15,,14.3,173.3,,,Note: most samples had a peak at around minute four of area ~1.1
,,,,,,,,,,,,,,17,M,16,,15.5,107.7,,,
,,,,,,,,,,,,,,18,N,17,,19.7,109.2,,,
,,,,,,,,,,,,,,19,O,18,,12,179.7,,,
,,,,,,,,,,,,,,20,P,19,,12.5,183.6,,,
,,,,,,,,,,,,,,21,Q,20,,22.4,125.3,,,
,,,,,,,,,,,,,,22,R,21,,19.6,97,,,
,,,,,,,,,,,,,,23,S ,22,,21.1,217.6,,,
,,,,,,,,,,,,,,24,T ,23,,10.6,194.7,,,
,,,,,,,,,,,,,,25,0hr 1,24,,18.6,42,,,
,,,,,,,,,,,,,,26,0hr 2,25,,7.6,42.9,,,
,,,,,,,,,,,,,,27,h2o,1,,2,5,,,
,,,,,,,,,,,,,,28,low eth,2,,7.6,124.1,,,
,,,,,,,,,,,,,,29,med eth,3,,53.4,67.1,,,
,,,,,,,,,,,,,,30,high eth,4,,95,4,,,
,,,,,,,,,,,,,,31,media,5,,7.3,0,,,
,,,,,,,,,,,,,,32,h2o,1,,3.5,2.8,,,
,,,,,,,,,,,,,,33,C,6,,4.6,17.6,,,
,,,,,,,,,,,,,,34,D,7,,3.4,35.3,,,
,,,,,,,,,,,,,,35,E,8,,5.6,59.3,,,
,,,,,,,,,,,,,,36,F,9,,20,62.8,,,
,,,,,,,,,,,,,,37,G,10,,4.8,60.2,,,
,,,,,,,,,,,,,,38,H,11,,19.7,49.7,,,
,,,,,,,,,,,,,,39,I,12,,9.6,85.4,,,
,,,,,,,,,,,,,,40,J,13,,13.2,87.5,,,
,,,,,,,,,,,,,,41,K,14,,24.4,106.4,,,
,,,,,,,,,,,,,,42,L,15,,9.4,170.1,,,
,,,,,,,,,,,,,,43,M,16,,16.6,106.2,,,
,,,,,,,,,,,,,,44,N,17,,16.4,108.9,,,
,,,,,,,,,,,,,,45,O,18,,35,178,,,"Note: Starting with Sample O, the ethanol peak started to spread out with every sample.  The initial peak at time ~2 stays around 1.1 through the rest of the samples"
,,,,,,,,,,,,,,46,P,19,,34.8,181.1,,,
,,,,,,,,,,,,,,47,Q,20,,42.7,123.2,,,
,,,,,,,,,,,,,,48,R,21,,22.3,123.7,,,
,,,,,,,,,,,,,,49,S ,22,,13,209.8,,,
,,,,,,,,,,,,,,50,T ,23,,30.5,189.8,,,
,,,,,,,,,,,,,,51,0hr 1,24,,31.8,65.5,,,
,,,,,,,,,,,,,,52,0hr 2,25,,32.4,57.6,,,
,,,,,,,,,,,,,,53,h2o,1,,6,3.7,,,
,,,,,,,,,,,,,,54,low eth,2,,25.1,122,,,
,,,,,,,,,,,,,,55,med eth,3,,53.3,64.9,,,
,,,,,,,,,,,,,,56,high eth,4,,93.2,4.5,,,
,,,,,,,,,,,,,,57,media,5,,3.1,0,,,
,,,,,,,,,,,,,,58,h2o,1,,2.8,3,,,
,,,,,,,,,,,,,,,,,,,,,,
